scenario,source,target,path,cost,algorithm,note
distance,Shuja'iyya,Gaza field hospital of the Jordanian-,"[""Shuja'iyya"", 'Gaza field hospital of the Jordanian-']",3.33,dijkstra,ok
distance,Shuja'iyya,مستشفى الشفا - مبنى الحروق,"[""Shuja'iyya"", 'مستشفى الشفا - مبنى الحروق']",3.35,dijkstra,ok
distance,Shuja'iyya,UNRWA vocational college,,,,no path
distance,Shuja'iyya,UNRWA-GFO,,,,no path
distance,Shuja'iyya,Al Quds Open University - Gaza Branch,"[""Shuja'iyya"", 'Rafah int', 'Al Quds Open University - Gaza Branch']",5.779999999999999,dijkstra,ok
distance,Shuja'iyya,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Shuja'iyya,Islamic University - khanyonuis,,,,no path
distance,Zeitoun,مستشفى شهداء الاقصى,,,,no path
distance,Zeitoun,Gaza field hospital of the Jordanian-,"['Zeitoun', 'Gaza field hospital of the Jordanian-']",2.03,dijkstra,ok
distance,Zeitoun,مستشفى الشفا - مبنى الحروق,"['Zeitoun', 'مستشفى الشفا - مبنى الحروق']",1.56,dijkstra,ok
distance,Zeitoun,UNRWA vocational college,,,,no path
distance,Zeitoun,UNRWA-GFO,,,,no path
distance,Zeitoun,Al Quds Open University - Gaza Branch,"['Zeitoun', 'Al Quds Open University - Gaza Branch']",2.52,dijkstra,ok
distance,Zeitoun,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Zeitoun,Islamic University - khanyonuis,,,,no path
distance,Sabra,مستشفى شهداء الاقصى,,,,no path
distance,Sabra,Gaza field hospital of the Jordanian-,"['Sabra', 'Gaza field hospital of the Jordanian-']",2.17,dijkstra,ok
distance,Sabra,مستشفى الشفا - مبنى الحروق,"['Sabra', 'مستشفى الشفا - مبنى الحروق']",2.46,dijkstra,ok
distance,Sabra,UNRWA vocational college,,,,no path
distance,Sabra,UNRWA-GFO,,,,no path
distance,Sabra,Al Quds Open University - Gaza Branch,"['Sabra', 'Al Quds Open University - Gaza Branch']",3.34,dijkstra,ok
distance,Sabra,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Sabra,Islamic University - khanyonuis,,,,no path
distance,Sheikh Radwan,مستشفى شهداء الاقصى,,,,no path
distance,Sheikh Radwan,Gaza field hospital of the Jordanian-,"['Sheikh Radwan', 'Rafah int', 'Gaza field hospital of the Jordanian-']",6.050000000000001,dijkstra,ok
distance,Sheikh Radwan,مستشفى الشفا - مبنى الحروق,"['Sheikh Radwan', 'مستشفى الشفا - مبنى الحروق']",2.57,dijkstra,ok
distance,Sheikh Radwan,UNRWA vocational college,,,,no path
distance,Sheikh Radwan,UNRWA-GFO,,,,no path
distance,Sheikh Radwan,Al Quds Open University - Gaza Branch,"['Sheikh Radwan', 'Al Quds Open University - Gaza Branch']",1.94,dijkstra,ok
distance,Sheikh Radwan,جامعة الازهر كلية الحقوق المغراقة,,,,no path
distance,Sheikh Radwan,Islamic University - khanyonuis,,,,no path
distance,Nuseirat,مستشفى شهداء الاقصى,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى']",4.42,dijkstra,ok
distance,Nuseirat,Gaza field hospital of the Jordanian-,,,,no path
distance,Nuseirat,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Nuseirat,UNRWA vocational college,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",12.69,dijkstra,ok
distance,Nuseirat,UNRWA-GFO,"['Nuseirat', 'UNRWA-GFO']",2.46,dijkstra,ok
distance,Nuseirat,Al Quds Open University - Gaza Branch,,,,no path
distance,Nuseirat,جامعة الازهر كلية الحقوق المغراقة,"['Nuseirat', 'north gaza int', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.52,dijkstra,ok
distance,Nuseirat,Islamic University - khanyonuis,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",13.36,dijkstra,ok
distance,Bureij,مستشفى شهداء الاقصى,"['Bureij', 'مستشفى شهداء الاقصى']",3.55,dijkstra,ok
distance,Bureij,Gaza field hospital of the Jordanian-,,,,no path
distance,Bureij,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Bureij,UNRWA vocational college,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",11.819999999999999,dijkstra,ok
distance,Bureij,UNRWA-GFO,"['Bureij', 'UNRWA-GFO']",3.36,dijkstra,ok
distance,Bureij,Al Quds Open University - Gaza Branch,,,,no path
distance,Bureij,جامعة الازهر كلية الحقوق المغراقة,"['Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",3.92,dijkstra,ok
distance,Bureij,Islamic University - khanyonuis,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",12.489999999999998,dijkstra,ok
distance,Maghazi,مستشفى شهداء الاقصى,"['Maghazi', 'مستشفى شهداء الاقصى']",2.02,dijkstra,ok
distance,Maghazi,Gaza field hospital of the Jordanian-,,,,no path
distance,Maghazi,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Maghazi,UNRWA vocational college,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",10.29,dijkstra,ok
distance,Maghazi,UNRWA-GFO,"['Maghazi', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",6.09,dijkstra,ok
