scenario,source,target,path,cost,algorithm,note
risk,Shuja'iyya,Gaza field hospital of the Jordanian-,"[""Shuja'iyya"", 'Gaza field hospital of the Jordanian-']",3.98,dijkstra,ok
risk,Shuja'iyya,مستشفى الشفا - مبنى الحروق,"[""Shuja'iyya"", 'مستشفى الشفا - مبنى الحروق']",4.25,dijkstra,ok
risk,Shuja'iyya,UNRWA vocational college,,,,no path
risk,Shuja'iyya,UNRWA-GFO,,,,no path
risk,Shuja'iyya,Al Quds Open University - Gaza Branch,"[""Shuja'iyya"", 'Rafah int', 'Al Quds Open University - Gaza Branch']",10.66,dijkstra,ok
risk,Shuja'iyya,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Shuja'iyya,Islamic University - khanyonuis,,,,no path
risk,Zeitoun,مستشفى شهداء الاقصى,,,,no path
risk,Zeitoun,Gaza field hospital of the Jordanian-,"['Zeitoun', 'Gaza field hospital of the Jordanian-']",3.21,dijkstra,ok
risk,Zeitoun,مستشفى الشفا - مبنى الحروق,"['Zeitoun', 'مستشفى الشفا - مبنى الحروق']",3.32,dijkstra,ok
risk,Zeitoun,UNRWA vocational college,,,,no path
risk,Zeitoun,UNRWA-GFO,,,,no path
risk,Zeitoun,Al Quds Open University - Gaza Branch,"['Zeitoun', 'Al Quds Open University - Gaza Branch']",3.91,dijkstra,ok
risk,Zeitoun,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Zeitoun,Islamic University - khanyonuis,,,,no path
risk,Sabra,مستشفى شهداء الاقصى,,,,no path
risk,Sabra,Gaza field hospital of the Jordanian-,"['Sabra', 'Gaza field hospital of the Jordanian-']",3.52,dijkstra,ok
risk,Sabra,مستشفى الشفا - مبنى الحروق,"['Sabra', 'مستشفى الشفا - مبنى الحروق']",3.89,dijkstra,ok
risk,Sabra,UNRWA vocational college,,,,no path
risk,Sabra,UNRWA-GFO,,,,no path
risk,Sabra,Al Quds Open University - Gaza Branch,"['Sabra', 'Al Quds Open University - Gaza Branch']",4.45,dijkstra,ok
risk,Sabra,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Sabra,Islamic University - khanyonuis,,,,no path
risk,Sheikh Radwan,مستشفى شهداء الاقصى,,,,no path
