scenario,source,target,path,cost,algorithm,note
aid,Sabra,مستشفى الشفا - مبنى الحروق,"['Sabra', 'مستشفى الشفا - مبنى الحروق']",2.6199999999999997,dijkstra,ok
aid,Sabra,UNRWA vocational college,,,,no path
aid,Sabra,UNRWA-GFO,,,,no path
aid,Sabra,Al Quds Open University - Gaza Branch,"['Sabra', 'Al Quds Open University - Gaza Branch']",2.8899999999999997,dijkstra,ok
aid,Sabra,جامعة الازهر كلية الحقوق المغراقة,,,,no path
aid,Sabra,Islamic University - khanyonuis,,,,no path
aid,Sheikh Radwan,مستشفى شهداء الاقصى,,,,no path
aid,Sheikh Radwan,Gaza field hospital of the Jordanian-,"['Sheikh Radwan', 'Rafah int', 'Gaza field hospital of the Jordanian-']",6.51,dijkstra,ok
aid,Sheikh Radwan,مستشفى الشفا - مبنى الحروق,"['Sheikh Radwan', 'مستشفى الشفا - مبنى الحروق']",2.6299999999999994,dijkstra,ok
aid,Sheikh Radwan,UNRWA vocational college,,,,no path
aid,Sheikh Radwan,UNRWA-GFO,,,,no path
aid,Sheikh Radwan,Al Quds Open University - Gaza Branch,"['Sheikh Radwan', 'Al Quds Open University - Gaza Branch']",2.5199999999999996,dijkstra,ok
aid,Sheikh Radwan,جامعة الازهر كلية الحقوق المغراقة,,,,no path
aid,Sheikh Radwan,Islamic University - khanyonuis,,,,no path
aid,Nuseirat,مستشفى شهداء الاقصى,"['Nuseirat', 'UNRWA-GFO', 'Bureij', 'مستشفى شهداء الاقصى']",3.389999999999999,dijkstra,ok
aid,Nuseirat,Gaza field hospital of the Jordanian-,,,,no path
aid,Nuseirat,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Nuseirat,UNRWA vocational college,"['Nuseirat', 'UNRWA-GFO', 'Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",6.4499999999999975,dijkstra,ok
aid,Nuseirat,UNRWA-GFO,"['Nuseirat', 'UNRWA-GFO']",1.2199999999999998,dijkstra,ok
aid,Nuseirat,Al Quds Open University - Gaza Branch,,,,no path
aid,Nuseirat,جامعة الازهر كلية الحقوق المغراقة,"['Nuseirat', 'UNRWA-GFO', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",4.199999999999999,dijkstra,ok
aid,Nuseirat,Islamic University - khanyonuis,"['Nuseirat', 'UNRWA-GFO', 'Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",6.669999999999998,dijkstra,ok
aid,Bureij,مستشفى شهداء الاقصى,"['Bureij', 'مستشفى شهداء الاقصى']",0.7499999999999996,dijkstra,ok
aid,Bureij,Gaza field hospital of the Jordanian-,,,,no path
aid,Bureij,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Bureij,UNRWA vocational college,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",3.8099999999999987,dijkstra,ok
aid,Bureij,UNRWA-GFO,"['Bureij', 'UNRWA-GFO']",1.4199999999999995,dijkstra,ok
aid,Bureij,Al Quds Open University - Gaza Branch,,,,no path
aid,Bureij,جامعة الازهر كلية الحقوق المغراقة,"['Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",1.5599999999999996,dijkstra,ok
aid,Bureij,Islamic University - khanyonuis,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",4.0299999999999985,dijkstra,ok
aid,Maghazi,مستشفى شهداء الاقصى,"['Maghazi', 'مستشفى شهداء الاقصى']",0.3099999999999996,dijkstra,ok
aid,Maghazi,Gaza field hospital of the Jordanian-,,,,no path
aid,Maghazi,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Maghazi,UNRWA vocational college,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",3.3699999999999988,dijkstra,ok
aid,Maghazi,UNRWA-GFO,"['Maghazi', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",2.4799999999999986,dijkstra,ok
aid,Maghazi,Al Quds Open University - Gaza Branch,,,,no path
aid,Maghazi,جامعة الازهر كلية الحقوق المغراقة,"['Maghazi', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",2.6199999999999988,dijkstra,ok
aid,Maghazi,Islamic University - khanyonuis,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",3.589999999999999,dijkstra,ok
aid,Az Zawayda,مستشفى شهداء الاقصى,"['Az Zawayda', 'مستشفى شهداء الاقصى']",0.12999999999999967,dijkstra,ok
aid,Az Zawayda,Gaza field hospital of the Jordanian-,,,,no path
aid,Az Zawayda,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Az Zawayda,UNRWA vocational college,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",3.1899999999999986,dijkstra,ok
aid,Az Zawayda,UNRWA-GFO,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",2.299999999999999,dijkstra,ok
aid,Az Zawayda,Al Quds Open University - Gaza Branch,,,,no path
aid,Az Zawayda,جامعة الازهر كلية الحقوق المغراقة,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",2.4399999999999986,dijkstra,ok
aid,Az Zawayda,Islamic University - khanyonuis,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",3.409999999999999,dijkstra,ok
aid,Deir al Balah,مستشفى شهداء الاقصى,"['Deir al Balah', 'مستشفى شهداء الاقصى']",0.009999999999999787,dijkstra,ok
aid,Deir al Balah,Gaza field hospital of the Jordanian-,,,,no path
aid,Deir al Balah,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Deir al Balah,UNRWA vocational college,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",3.069999999999999,dijkstra,ok
aid,Deir al Balah,UNRWA-GFO,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",2.179999999999999,dijkstra,ok
aid,Deir al Balah,Al Quds Open University - Gaza Branch,,,,no path
aid,Deir al Balah,جامعة الازهر كلية الحقوق المغراقة,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",2.319999999999999,dijkstra,ok
aid,Deir al Balah,Islamic University - khanyonuis,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",3.289999999999999,dijkstra,ok
aid,Al Musaddar,مستشفى شهداء الاقصى,"['Al Musaddar', 'مستشفى شهداء الاقصى']",0.22999999999999954,dijkstra,ok
aid,Al Musaddar,Gaza field hospital of the Jordanian-,,,,no path
aid,Al Musaddar,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Al Musaddar,UNRWA vocational college,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",3.2899999999999987,dijkstra,ok
aid,Al Musaddar,UNRWA-GFO,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",2.3999999999999986,dijkstra,ok
aid,Al Musaddar,Al Quds Open University - Gaza Branch,,,,no path
aid,Al Musaddar,جامعة الازهر كلية الحقوق المغراقة,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",2.5399999999999987,dijkstra,ok
aid,Al Musaddar,Islamic University - khanyonuis,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",3.509999999999999,dijkstra,ok
aid,Abasan al-Kabira,مستشفى شهداء الاقصى,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.589999999999999,dijkstra,ok
aid,Abasan al-Kabira,Gaza field hospital of the Jordanian-,,,,no path
aid,Abasan al-Kabira,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Abasan al-Kabira,UNRWA vocational college,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",4.77,dijkstra,ok
aid,Abasan al-Kabira,UNRWA-GFO,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.759999999999998,dijkstra,ok
aid,Abasan al-Kabira,Al Quds Open University - Gaza Branch,,,,no path
aid,Abasan al-Kabira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Kabira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",6.899999999999998,dijkstra,ok
aid,Abasan al-Kabira,Islamic University - khanyonuis,"['Abasan al-Kabira', 'Islamic University - khanyonuis']",1.3099999999999996,dijkstra,ok
aid,Abasan al-Saghira,مستشفى شهداء الاقصى,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.799999999999999,dijkstra,ok
aid,Abasan al-Saghira,Gaza field hospital of the Jordanian-,,,,no path
aid,Abasan al-Saghira,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Abasan al-Saghira,UNRWA vocational college,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",4.979999999999999,dijkstra,ok
aid,Abasan al-Saghira,UNRWA-GFO,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.969999999999999,dijkstra,ok
aid,Abasan al-Saghira,Al Quds Open University - Gaza Branch,,,,no path
aid,Abasan al-Saghira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Saghira', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.1099999999999985,dijkstra,ok
aid,Abasan al-Saghira,Islamic University - khanyonuis,"['Abasan al-Saghira', 'Islamic University - khanyonuis']",1.5199999999999996,dijkstra,ok
aid,Bani Suheila,مستشفى شهداء الاقصى,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.5699999999999985,dijkstra,ok
aid,Bani Suheila,Gaza field hospital of the Jordanian-,,,,no path
aid,Bani Suheila,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Bani Suheila,UNRWA vocational college,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",4.749999999999998,dijkstra,ok
aid,Bani Suheila,UNRWA-GFO,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.739999999999998,dijkstra,ok
aid,Bani Suheila,Al Quds Open University - Gaza Branch,,,,no path
aid,Bani Suheila,جامعة الازهر كلية الحقوق المغراقة,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",6.879999999999998,dijkstra,ok
aid,Bani Suheila,Islamic University - khanyonuis,"['Bani Suheila', 'Islamic University - khanyonuis']",1.2899999999999996,dijkstra,ok
aid,Khuza'a,مستشفى شهداء الاقصى,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.369999999999999,dijkstra,ok
aid,Khuza'a,Gaza field hospital of the Jordanian-,,,,no path
aid,Khuza'a,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Khuza'a,UNRWA vocational college,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",4.549999999999999,dijkstra,ok
aid,Khuza'a,UNRWA-GFO,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.539999999999999,dijkstra,ok
aid,Khuza'a,Al Quds Open University - Gaza Branch,,,,no path
aid,Khuza'a,جامعة الازهر كلية الحقوق المغراقة,"[""Khuza'a"", 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",6.679999999999999,dijkstra,ok
aid,Khuza'a,Islamic University - khanyonuis,"[""Khuza'a"", 'Islamic University - khanyonuis']",1.0899999999999996,dijkstra,ok
aid,Al Qarara,مستشفى شهداء الاقصى,"['Al Qarara', 'مستشفى شهداء الاقصى']",1.4399999999999995,dijkstra,ok
aid,Al Qarara,Gaza field hospital of the Jordanian-,,,,no path
aid,Al Qarara,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Al Qarara,UNRWA vocational college,"['Al Qarara', 'UNRWA vocational college']",1.6199999999999997,dijkstra,ok
aid,Al Qarara,UNRWA-GFO,"['Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",3.6099999999999985,dijkstra,ok
aid,Al Qarara,Al Quds Open University - Gaza Branch,,,,no path
aid,Al Qarara,جامعة الازهر كلية الحقوق المغراقة,"['Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",3.7499999999999987,dijkstra,ok
aid,Al Qarara,Islamic University - khanyonuis,"['Al Qarara', 'Islamic University - khanyonuis']",1.8399999999999996,dijkstra,ok
aid,Al Fukhkhari,مستشفى شهداء الاقصى,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",3.9999999999999987,dijkstra,ok
aid,Al Fukhkhari,Gaza field hospital of the Jordanian-,,,,no path
aid,Al Fukhkhari,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Al Fukhkhari,UNRWA vocational college,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",4.179999999999999,dijkstra,ok
aid,Al Fukhkhari,UNRWA-GFO,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.169999999999998,dijkstra,ok
aid,Al Fukhkhari,Al Quds Open University - Gaza Branch,,,,no path
aid,Al Fukhkhari,جامعة الازهر كلية الحقوق المغراقة,"['Al Fukhkhari', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",6.309999999999998,dijkstra,ok
aid,Al Fukhkhari,Islamic University - khanyonuis,"['Al Fukhkhari', 'Islamic University - khanyonuis']",0.7199999999999995,dijkstra,ok
aid,Rafah Camp,مستشفى شهداء الاقصى,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",5.189999999999999,dijkstra,ok
aid,Rafah Camp,Gaza field hospital of the Jordanian-,,,,no path
aid,Rafah Camp,مستشفى الشفا - مبنى الحروق,,,,no path
aid,Rafah Camp,UNRWA vocational college,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",5.369999999999999,dijkstra,ok
aid,Rafah Camp,UNRWA-GFO,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",7.359999999999998,dijkstra,ok
aid,Rafah Camp,Al Quds Open University - Gaza Branch,,,,no path
aid,Rafah Camp,جامعة الازهر كلية الحقوق المغراقة,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.499999999999997,dijkstra,ok
aid,Rafah Camp,Islamic University - khanyonuis,"['Rafah Camp', 'Islamic University - khanyonuis']",1.9099999999999997,dijkstra,ok
aid,Tal as Sultan,مستشفى شهداء الاقصى,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.729999999999999,dijkstra,ok
aid,Tal as Sultan,Gaza field hospital of the Jordanian-,,,,no path
aid,Tal as Sultan,مستشفى الشفا - مبنى الحروق,,,,no path
